Cell ID, TAC, RSSI, RSRP, SINR, RSRQ, CE, BER, Temp, Hum
"3D660C","815E",-53,-63,164,-10,0,99,45.00,20.54
"3D660C","815E",-51,-62,179,-10,0,99,45.46,20.39
"3D660C","815E",-53,-62,184,-10,0,99,45.93,20.23
"3D660C","815E",-53,-62,175,-10,0,99,46.04,19.97
"3D660C","815E",-50,-63,175,-10,0,99,45.81,19.93
"3D660C","815E",-50,-62,169,-10,0,99,45.09,19.95
"3D660C","815E",-50,-61,167,-10,0,99,44.08,20.14
"3D660C","815E",-50,-61,169,-10,0,99,43.78,20.55
"3D660C","815E",-50,-60,172,-10,0,99,43.82,20.87
"3D660C","815E",-50,-60,175,-10,0,99,44.37,20.83
"3D660C","815E",-50,-60,179,-10,0,99,44.27,20.71
"3D660C","815E",-52,-61,169,-10,0,99,44.51,20.70
"3D660C","815E",-52,-61,167,-10,0,99,44.73,20.63
"3D660C","815E",-49,-61,167,-10,0,99,45.05,20.54
"3D660C","815E",-49,-61,167,-10,0,99,45.37,20.51
"3D660C","815E",-49,-60,164,-10,0,99,45.18,20.40
"3D660C","815E",-49,-60,162,-10,0,99,45.33,20.33
"3D660C","815E",-49,-59,167,-10,0,99,45.44,20.27
"3D660C","815E",-49,-60,175,-10,0,99,46.00,20.21
"3D660C","815E",-49,-60,179,-10,0,99,46.02,19.96
"3D660C","815E",-49,-60,177,-10,0,99,46.16,19.74
"3D660C","815E",-49,-61,179,-10,0,99,46.48,19.49
"3D660C","815E",-51,-61,172,-10,0,99,46.66,19.44
"3D660C","815E",-51,-61,172,-10,0,99,46.88,19.17
"3D660C","815E",-51,-62,167,-10,0,99,46.81,19.07
"3D660C","815E",-49,-61,167,-10,0,99,46.77,19.20
"3D660C","815E",-49,-61,164,-10,0,99,46.98,19.18
"3D660C","815E",-49,-60,169,-10,0,99,46.96,19.21
"3D660C","815E",-49,-60,175,-10,0,99,47.13,19.25
"3D660C","815E",-49,-60,169,-10,0,99,47.07,19.31
"3D660C","815E",-49,-60,167,-10,0,99,46.48,19.28
"3D660C","815E",-51,-61,159,-10,0,99,46.03,19.40
"3D660C","815E",-51,-61,157,-10,0,99,46.51,19.53
"3D660C","815E",-49,-60,169,-10,0,99,47.19,19.38
"3D660C","815E",-52,-61,175,-10,0,99,47.14,19.16
"3D660C","815E",-52,-61,175,-10,0,99,47.56,19.17
"3D660C","815E",-50,-61,177,-10,0,99,47.30,19.03
"3D660C","815E",-50,-61,175,-10,0,99,47.52,19.07
"3D660C","815E",-50,-60,164,-10,0,99,47.92,18.99
"3D660C","815E",-50,-60,164,-10,0,99,48.26,18.76
"3D660C","815E",-50,-60,157,-11,0,99,47.79,18.56
"3D660C","815E",-50,-60,157,-11,0,99,47.90,18.66
"3D660C","815E",-54,-60,157,-9,0,99,47.91,18.66
"3D660C","815E",-49,-60,167,-9,0,99,47.86,18.72
"3D660C","815E",-49,-60,179,-9,0,99,47.51,18.70
"3D660C","815E",-49,-60,182,-10,0,99,47.37,18.88
"3D660C","815E",-49,-60,179,-10,0,99,47.79,18.87
"3D660C","815E",-49,-61,175,-10,0,99,47.83,18.55
"3D660C","815E",-49,-61,175,-10,0,99,46.93,18.85
"3D660C","815E",-49,-60,179,-10,0,99,46.46,19.09
"3D660C","815E",-49,-60,177,-11,0,99,45.92,19.28
"3D660C","815E",-49,-60,175,-11,0,99,44.62,19.62
"3D660C","815E",-49,-60,175,-11,0,99,44.39,20.10
"3D660C","815E",-51,-60,172,-10,0,99,44.22,20.35
"3D660C","815E",-51,-60,167,-10,0,99,43.67,20.50
"3D660C","815E",-51,-61,169,-10,0,99,43.88,20.62
"3D660C","815E",-51,-61,167,-10,0,99,43.75,20.57
"3D660C","815E",-50,-61,162,-10,0,99,43.86,20.74
"3D660C","815E",-50,-60,164,-10,0,99,44.30,20.67
"3D660C","815E",-50,-61,159,-10,0,99,44.90,20.20
"3D660C","815E",-50,-61,159,-10,0,99,44.77,19.99
"3D660C","815E",-50,-61,154,-10,0,99,44.20,20.17
"3D660C","815E",-50,-61,169,-10,0,99,43.80,20.54
"3D660C","815E",-50,-61,172,-10,0,99,43.32,20.65
"3D660C","815E",-50,-61,169,-10,0,99,42.90,20.90
"3D660C","815E",-48,-60,172,-10,0,99,43.27,20.99
"3D660C","815E",-48,-59,162,-9,0,99,43.61,20.91
"3D660C","815E",-48,-59,182,-9,0,99,44.14,20.68
"3D660C","815E",-53,-60,182,-8,0,99,44.41,20.56
"3D660C","815E",-46,-58,184,-8,0,99,44.69,20.33
"3D660C","815E",-48,-58,179,-10,0,99,43.92,20.35
"3D660C","815E",-50,-58,182,-10,0,99,43.21,20.57
"3D660C","815E",-50,-60,179,-8,0,99,42.92,20.96
"3D660C","815E",-50,-60,179,-10,0,99,42.97,21.18
"3D660C","815E",-54,-60,184,-8,0,99,42.76,21.07
"3D660C","815E",-49,-60,187,-8,0,99,42.55,21.09
"3D660C","815E",-49,-60,187,-8,0,99,42.54,20.95
"3D660C","815E",-49,-60,182,-10,0,99,42.80,21.03
"3D660C","815E",-49,-60,182,-10,0,99,43.03,21.06
"3D660C","815E",-49,-61,179,-11,0,99,43.64,20.80
"3D660C","815E",-49,-60,172,-11,0,99,44.07,20.53
"3D660C","815E",-49,-60,164,-11,0,99,44.54,20.28
"3D660C","815E",-49,-60,167,-11,0,99,44.94,20.03
"3D660C","815E",-49,-60,169,-11,0,99,45.45,19.90
"3D660C","815E",-49,-61,172,-10,0,99,45.63,19.71
"3D660C","815E",-49,-60,167,-10,0,99,45.98,19.69
"3D660C","815E",-49,-60,157,-10,0,99,46.42,19.61
"3D660C","815E",-49,-60,157,-10,0,99,45.91,19.42
"3D660C","815E",-49,-60,162,-10,0,99,45.50,19.58
"3D660C","815E",-49,-59,167,-10,0,99,44.65,19.91
"3D660C","815E",-49,-59,164,-10,0,99,44.33,20.33
"3D660C","815E",-49,-60,167,-11,0,99,44.19,20.40
"3D660C","815E",-49,-60,169,-10,0,99,44.12,20.44
"3D660C","815E",-49,-60,175,-10,0,99,44.38,20.42
"3D660C","815E",-49,-60,179,-10,0,99,45.01,20.30
"3D660C","815E",-51,-60,182,-10,0,99,45.70,20.04
"3D660C","815E",-49,-61,172,-10,0,99,46.12,19.71
"3D660C","815E",-51,-61,172,-10,0,99,46.52,19.55
"3D660C","815E",-51,-61,164,-10,0,99,46.64,19.36
"3D660C","815E",-48,-61,162,-10,0,99,46.88,19.33
"3D660C","815E",-48,-60,167,-10,0,99,47.31,19.26
